ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
30269,Cricket,Thomas Kirkwood,India,1884,Dead,details unknown ,Male,Europeans (India)
16418,Cricket,Thomas Longfield,England,1906,Dead,"December 21, 1981, Ealing, Middlesex (aged 75 years 223 days) ",Male,"['Bengal,', 'Cambridge University,', 'Europeans (India),', 'Kent']"
34461,Cricket,Thomas Sturgess,India,1898,Dead,"February 2, 1974, Cape Town, Cape Province, South Africa (aged 75 years 131 days) ",Male,Europeans (India)
35594,Cricket,Thomas Usborne,India,1866,Dead,"February 1, 1952, Chilham, Kent, England (aged 85 years 52 days) ",Male,Europeans (India)
35948,Cricket,Thomas Wall,India,1893,Dead,"December 11, 1950, Cathays, Cardiff, Wales (aged 57 years 87 days) ",Male,Europeans (India)
1170265,Cricket,Tilak Varma,India,2002,Alive,,Male,Hyderabad (India)
232364,Cricket,Tim Southee,New Zealand,1988,Alive,,Male,"['New Zealand,', 'Chennai Super Kings,', 'Essex,', 'Mumbai Indians,', 'New Zealand Under-19s,', 'Northern Districts,', 'Rajasthan Royals,', 'Royal Challengers Bangalore,', 'Vancouver Knights']"
33386,Cricket,Timothy Ravi Kumar,India,1975,Alive,,Male,Hyderabad (India)
36080,Cricket,Tinu Yohannan,India,1979,Alive,,Male,"['India,', 'Kerala,', 'Royal Challengers Bangalore']"
372117,Cricket,Tiny Abed,South Africa,1931,Dead,"April 4, 2003, Cape Town (aged 71 years 330 days) ",Male,"['South Africa Indians,', 'South Africa Malays,', 'South African Non-Europeans']"
34109,Cricket,Tirumalai Srinivasan,India,1950,Dead,"December 6, 2010 (aged 60 years 41 days) ",Male,"['India,', 'Tamil Nadu']"
34281,Cricket,Tirumalasetti Suman,India,1983,Alive,,Male,"['Deccan Chargers,', 'Hyderabad (India),', 'Mumbai Indians,', 'Pune Warriors,', 'Sunrisers Hyderabad']"
10954,Cricket,Toby Colbeck,England,1884,Dead,"January 3, 1918, off the Cape of Good Hope in HMS Ormonde (aged 34 years 2 days) ",Male,"['Cambridge University,', 'Europeans (India),', 'Middlesex']"
34565,Cricket,TP Singh,India,1978,Alive,,Male,"['Chandigarh Lions,', 'ICL India XI,', 'Punjab,', 'Railways']"
